跑步机参数项文案,距离,运动时长,总消耗卡路里,心率,速度,最大速度,平均速度,坡度,最大坡度,平均坡度,配速,最大配速,平均配速,步数,,,
Android室内运动结果页,Distance (mi),Time,Carlorie,HR,Speed,Max,Avg,Incline,Max,Avg,Pace,Max,Avg,Steps,,,
iOS室内运动结果页,Distance (mi),Time,Carlorie,HR,Speed,Max,Avg,Incline,Max,Avg,Pace,Max,Avg,Steps,,,
Android课程运动结果页,Distance,Time,Carlorie,HR,Speed,Max,Avg,Incline,Max,Avg,Pace,Max,Avg,Steps,,,
iOS课程运动结果页,Distance,Time,Carlorie,HR,Speed,Max,Avg,Incline,Max,Avg,Pace,Max,Avg,Steps,,,
,,,,,,,,,,,,,,,,,
单车参数项文案,距离,运动时长,总消耗卡路里,心率,速度,最大速度,平均速度,踏频,最大踏频,平均踏频,阻力,最大阻力,实时阻力,,,,
Android室内运动结果页,Distance (mi),Time,Carlorie,\,Speed,Max,Avg,Cadence,Max,Avg,\,\,\,,,,
iOS室内运动结果页,Distance (mi),Time,Carlorie,\,Speed,Max,Avg,Cadence,Max,Avg,\,\,\,,,,
Android课程运动结果页,Distance,Time,Carlorie,\,Speed,Max,Avg,Cadence,Max,Avg,\,\,\,,,,
iOS课程运动结果页,Distance,Time,Carlorie,\,Speed,Max,Avg,Cadence,Max,Avg,\,\,\,,,,
,,,,,,,,,,,,,,,,,
椭圆机参数项文案,距离,运动时长,总消耗卡路里,心率,速度,最大速度,平均速度,踏频,最大踏频,平均踏频,阻力,最大阻力,实时阻力,,,,
Android室内运动结果页,Distance (mi),Time,Carlorie,\,Speed,Max,Avg,Cadence,Max,Avg,Resistance,Max,Avg,,,,
iOS室内运动结果页,Distance (mi),Time,Carlorie,\,Speed,Max,Avg,Cadence,Max,Avg,Resistance,Max,Avg,,,,
Android课程运动结果页,Distance,Time,Carlorie,\,Speed,Max,Avg,Cadence,Max,Avg,Resistance,Max,Avg,,,,
iOS课程运动结果页,Distance,Time,Carlorie,\,Speed,Max,Avg,Cadence,Max,Avg,Resistance,Max,Avg,,,,
,,,,,,,,,,,,,,,,,
划船机参数项文案,距离,运动时长,总消耗卡路里,心率,桨数,桨频,最大桨频,平均桨频,阻力,最大阻力,平均阻力,速度,最大速度,平均速度,,,
Android室内运动结果页,Distance (km),Time,Carlorie,\,Strokes,Stroke Rate,Max,Avg,Resistance,Max,Avg,\,\,\,,,
iOS室内运动结果页,Distance (km),Time,Carlorie,\,Strokes,Stroke Rate,Max,Avg,Resistance,Max,Avg,\,\,\,,,
Android课程运动结果页,Distance (km),Time,Carlorie,\,Strokes,Stroke Rate,Max,Avg,\,\,\,Speed,Max,Avg,,,
iOS课程运动结果页,Distance (km),Time,Carlorie,\,Strokes,Stroke Rate,Max,Avg,Resistance,Max,Avg,Speed,Max,Avg,,,
,,,,,,,,,,,,,,,,,
骑马机参数项文案,次数,运动时长,总消耗卡路里,心率,频率,最大频率,平均频率,,,,,,,,,,
Android室内运动结果页,Rep Count,Time,Carlorie,\,Reps,Max,Avg,,,,,,,,,,
iOS室内运动结果页,Rep Count,Time,Carlorie,\,Reps,Max,Avg,,,,,,,,,,
Android课程运动结果页,Rep Count,Time,Carlorie,\,Reps,Max,Avg,,,,,,,,,,
iOS课程运动结果页,Rep Count,Time,Carlorie,\,Reps,Max,Avg,,,,,,,,,,
,,,,,,,,,,,,,,,,,
健身骑马机参数文案,次数,运动时长,总消耗卡路里,心率,频率,最大频率,平均频率,距离,实时速度,最大速度,平均速度,实时踏频,最大踏频,平均踏频,,,
Android室内运动结果页,Rep Count,Time,Carlorie,\,Reps,Max,Avg,Distance,Speed,Max,Avg,Cadence,Max,Avg,,,
iOS室内运动结果页,Rep Count,Time,Carlorie,\,Reps,Max,Avg,Distance,Speed,Max,Avg,Cadence,Max,Avg,,,
Android课程运动结果页,Rep Count,Time,Carlorie,\,Reps,Max,Avg,Distance,Speed,Max,Avg,Cadence,Max,Avg,,,
iOS课程运动结果页,Rep Count,Time,Carlorie,\,Reps,Max,Avg,Distance,Speed,Max,Avg,Cadence,Max,Avg,,,
,,,,,,,,,,,,,,,,,
踏步机参数文案,步数,运动时长,总消耗卡路里,心率,频率,最大频率,平均频率,,,,,,,,,,
Android室内运动结果页,Total Steps,Time,Carlorie,\,Reps,Max,Avg,,,,,,,,,,
iOS室内运动结果页,Steps,Time,Carlorie,\,Reps,Max,Avg,,,,,,,,,,
Android课程运动结果页,Steps,Time,Carlorie,\,Reps,Max,Avg,,,,,,,,,,
iOS课程运动结果页,Steps,Time,Carlorie,\,Reps,Max,Avg,,,,,,,,,,
,,,,,,,,,,,,,,,,,
电控 / MiniBike参数文案,距离,运动时长,总消耗卡路里,心率,实时速度,最大速度,平均速度,实时踏频,最大踏频,实时踏频,,,,,,,
Android室内运动结果页,Distance (mi),Time,Carlorie,\,Speed,Max,Avg,Cadence,Max,Avg,,,,,,,
iOS室内运动结果页,Distance (mi),Time,Carlorie,\,Speed,Max,Avg,Cadence,Max,Avg,,,,,,,
Android课程运动结果页,Distance (mi),Time,Carlorie,\,Speed,Max,Avg,Cadence,Max,Avg,,,,,,,
iOS课程运动结果页,Distance (mi),Time,Carlorie,\,Speed,Max,Avg,Cadence,Max,Avg,,,,,,,
,,,,,,,,,,,,,,,,,
楼梯机参数文案,高度,运动时长,总消耗卡路里,心率,楼层数,实时速度档位,,实时步频,最大步频,平均步频,,,,,,,
Android室内运动结果页,Height,Time,Carlorie,\,Floors,\,,,Max,Avg,,,,,,,
iOS室内运动结果页,Height,Time,Carlorie,\,Floors,\,,,Max,Avg,,,,,,,
Android课程运动结果页,Height,Time,Carlorie,\,Floors,\,,,Max,Avg,,,,,,,
iOS课程运动结果页,Height,Time,Carlorie,\,Floors,\,,,Max,Avg,,,,,,,
